phylum	class	order	family	genus	species
Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Abortiporus	Abortiporus biennis
Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	Acarospora socialis
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus arvensis
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus augustus
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bitorquis
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus campestris
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus sylvicola
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus xanthodermus
Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe cylindracea
Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe pediades
Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Alectoria	Alectoria sarmentosa
Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Aleuria	Aleuria aurantia
Ascomycota	Lecanoromycetes	Caliciales	Caliciaceae	Amandinea	Amandinea punctata
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita augusta
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita bisporigera
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita calyptroderma
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita citrina
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita crocea
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita excelsa
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita flavoconia
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita flavorubens
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita fulva
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita gemmata
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita jacksonii
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita muscaria
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita pantherina
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita parcivolvata
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita persicina
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita phalloides
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita porphyria
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita regalis
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita rubescens
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velosa
Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita xanthocephala
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Ampulloclitocybe	Ampulloclitocybe clavipes
Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Anaptychia	Anaptychia ciliaris
Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon thouarsianum
Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Apioperdon	Apioperdon pyriforme
Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Apiosporina	Apiosporina morbosa
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria gallica
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria lutea
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria mellea
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria novae-zelandiae
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria ostoyae
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Arrhenia	Arrhenia chlorocyanea
Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Arthonia	Arthonia radiata
Basidiomycota	Pucciniomycetes	Pucciniales	Phragmidiaceae	Arthuriomyces	Arthuriomyces peckianus
Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Artomyces	Artomyces pyxidatus
Ascomycota	Leotiomycetes	Helotiales	Gelatinodiscaceae	Ascocoryne	Ascocoryne sarcoides
Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Aseroe	Aseroe rubra
Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Asterophora	Asterophora lycoperdoides
Basidiomycota	Agaricomycetes	Boletales	Diplocystidiaceae	Astraeus	Astraeus hygrometricus
Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Athelia	Athelia arachnoidea
Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Aureoboletus	Aureoboletus betula
Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia auricula-judae
Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia cornea
Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia mesenterica
Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Auriscalpium	Auriscalpium vulgare
Basidiomycota	Pucciniomycetes	Pucciniales	Sphaerophragmiaceae	Austropuccinia	Austropuccinia psidii
Ascomycota	Lecanoromycetes	Baeomycetales	Baeomycetaceae	Baeomyces	Baeomyces rufus
Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Baeospora	Baeospora myosura
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Battarrea	Battarrea phalloides
Ascomycota	Sordariomycetes	Xylariales	Graphostromataceae	Biscogniauxia	Biscogniauxia atropunctata
Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Bjerkandera	Bjerkandera adusta
Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Bolbitius	Bolbitius titubans
Basidiomycota	Agaricomycetes	Boletales	Boletinellaceae	Boletinellus	Boletinellus merulioides
Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Boletus	Boletus edulis
Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Boletus	Boletus erythropus
Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Boletus	Boletus reticulatus
Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae	Bondarzewia	Bondarzewia berkeleyi
Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista plumbea
Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovistella	Bovistella utriformis
Ascomycota	Leotiomycetes	Phacidiales	Phacidiaceae	Bulgaria	Bulgaria inquinans
Ascomycota	Leotiomycetes	Helotiales	Bulgariaceae	Bulgaria	Bulgaria inquinans
Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Butyriboletus	Butyriboletus frostii
Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Byssomerulius	Byssomerulius corium
Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Byssomerulius	Byssomerulius incarnatus
Basidiomycota	Agaricomycetes	Polyporales		Calcipostia	Calcipostia guttulata
Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Caloboletus	Caloboletus calopus
Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Caloboletus	Caloboletus radicans
Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Calocera	Calocera cornea
Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Calocera	Calocera viscosa
Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Calocybe	Calocybe gambosa
Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Calogaya	Calogaya decipiens
Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Calogaya	Calogaya pusilla
Ascomycota	Pezizomycetes	Pezizales	Caloscyphaceae	Caloscypha	Caloscypha fulgens
Basidiomycota	Agaricomycetes	Boletales	Calostomataceae	Calostoma	Calostoma cinnabarinum
Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia cyathiformis
Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	Calvatia gigantea
Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Calycina	Calycina citrina
Ascomycota	Candelariomycetes	Candelariales	Candelariaceae	Candelaria	Candelaria concolor
Ascomycota	Candelariomycetes	Candelariales	Candelariaceae	Candelariella	Candelariella aurella
Ascomycota	Candelariomycetes	Candelariales	Candelariaceae	Candelariella	Candelariella vitellina
Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Candolleomyces	Candolleomyces candolleanus
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Cantharellus	Cantharellus cibarius
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Cantharellus	Cantharellus cinnabarinus
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Cantharellus	Cantharellus formosus
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Cantharellus	Cantharellus lateritius
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Cantharellus	Cantharellus pallens
Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Caulorhiza	Caulorhiza umbonata
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cerioporus	Cerioporus leptocephalus
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cerioporus	Cerioporus squamosus
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cerioporus	Cerioporus varius
Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena hydnoides
Basidiomycota	Agaricomycetes	Polyporales	Cerrenaceae	Cerrena	Cerrena unicolor
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Cetraria	Cetraria islandica
Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Chalciporus	Chalciporus piperatus
Ascomycota	Leotiomycetes	Helotiales	Chlorociboriaceae	Chlorociboria	Chlorociboria aeruginascens
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Chlorophyllum	Chlorophyllum brunneum
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Chlorophyllum	Chlorophyllum molybdites
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Chlorophyllum	Chlorophyllum olivieri
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Chlorophyllum	Chlorophyllum rhacodes
Basidiomycota	Agaricomycetes	Agaricales	Cyphellaceae	Chondrostereum	Chondrostereum purpureum
Basidiomycota	Agaricomycetes	Agaricales	Chromocyphellaceae	Chromocyphella	Chromocyphella muscicola
Basidiomycota	Agaricomycetes	Boletales	Gomphidiaceae	Chroogomphus	Chroogomphus rutilus
Ascomycota	Arthoniomycetes	Arthoniales	Chrysotrichaceae	Chrysothrix	Chrysothrix candelaris
Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	Circinaria	Circinaria contorta
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia arbuscula
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia coccifera
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia coniocraea
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia cristatella
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia digitata
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia evansii
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia fimbriata
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia floerkeana
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia foliacea
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia furcata
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia gracilis
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia grayi
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia humilis
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia macilenta
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia portentosa
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia ramulosa
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia rangiferina
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia rangiformis
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia scabriuscula
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia stellaris
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia subtenuis
Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia uncialis
Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Clathrus	Clathrus archeri
Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Clathrus	Clathrus columnatus
Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Clathrus	Clathrus crispatus
Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Clathrus	Clathrus ruber
Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria argillacea
Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fragilis
Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria zollingeri
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina coralloides
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina rugosa
Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	Clavulinopsis corniculata
